nombre,url,accion_therapeutica,propiedades,indicaciones,dosificacion,reacciones_adversas,precauciones,interacciones,contraindicaciones,sobredosificacion,medicamentos
Idarubicina Clorhidrato,https://ar.prvademecum.com/principio-activo/idarubicina-clorhidrato-7648/,,,,,,,,,,IDARUBICINA KEMEX
Mitoxantrona,https://ar.prvademecum.com/principio-activo/mitoxantrona-504/,Antineoplásico.,"La mitoxantrona es un antineoplásico que tiene efecto citotóxico sobre células proliferativas y no proliferativas. El fármaco reacciona con el DNA; se intercalaría entre las cadenas del DNA y del RNA, aunque también inhibiría a las topoisomerasas de tipo I y II, lo que evita la separación de la doble cadena del DNA y con ello la duplicación y transcripción. La distribución en los tejidos tras la administración de una dosis IV es rápida y extensa; en animales (monos) se observó que la distribución en el ojo, médula espinal, cerebro y líquido cefalorraquídeo es baja. La vida media plasmática parece ser de 5,8 días, mientras que la vida media tisular es más prolongada. La droga se halla unida a proteínas plasmáticas en 78%. La eliminación tiene lugar por el riñón (6% a 10% de la dosis en 5 días) y por el hígado (25% de la dosis se recupera en heces 5 días después de la aplicación).","En combinación con otras drogas, en el tratamiento inicial de la leucemia no linfocítica aguda en los adultos. Esta categoría incluye las leucemias agudas de tipo mielógeno, promielocítico, monocítico y eritroide. Se ha utilizado sola o como coadyuvante en el tratamiento del linfoma no Hodgkin, de la leucemia linfoblástica aguda, de la enfermedad de Hodgkin y del carcinoma nasofaríngeo.","Tratamiento combinado inicial en la leucemia no linfocítica aguda: 12mg/m2, diarios, en los días 1 y 3, dados como infusión IV; 100mg/m2 de citarabina para 7 días, administrados como infusión continua de 24 horas en los días 1 y 7. Tratamiento de consolidación: 12mg/m2 diarios, en los días 1 y 2, dados como infusión IV; 100mg/m2 de citarabina para 5 días, administrados como infusión continua de 24 horas en los días 1 y 5. Con este tratamiento aparecerá mielosupresión severa.","Miocardiopatías, reacciones alérgicas ocasionales, inmunosupresión de aparición rápida, náuseas y vómitos, estomatitis/mucositis dentro de la semana de tratamiento.","Cuando la mitoxantrona se usa en el tratamiento de la leucemia, en el paciente se presentará inmunosupresión severa. Debiera disponerse de métodos de monitoreo y de sostén rápidamente accesibles para la asistencia al paciente. La seguridad en pacientes con insuficiencia hepática no se ha establecido. Tras su administración pueden presentarse falla cardíaca congestiva y disminución de la fracción de expulsión ventricular izquierda. La mitoxantrona es mutagénica en sistemas bacterianos; no se ha demostrado teratogenia en conejos; sin embargo, las ratas preñadas que la recibieron han tenido crías de bajo peso. No debiera administrarse a embarazadas debido al riesgo potencial de daño fetal, las mujeres jóvenes deben ser advertidas de esto para que eviten el embarazo. La lactación debiera suspenderse antes de iniciar el tratamiento.",,Hipersensibilidad a la mitoxantrona.,No se conocen antídotos contra la sobredosis; en un caso de sobredosis se produjo la muerte del paciente por leucopenia e infección.,MITOXGEN
Dimenhidrinato,https://ar.prvademecum.com/principio-activo/dimenhidrinato-1203/,"Antihistamínico, bloqueante H1, antiemético, antivertiginoso.","Es un derivado de la etanolamina. El mecanismo de acción por el cual ejerce sus efectos antiemético, anticinetósico y antivertiginoso no se conoce con exactitud, pero podría estar relacionado con sus acciones antimuscarínicas centrales. Disminuye la estimulación vestibular y deprime la función laberíntica. En el efecto antiemético también pude estar implicada una acción sobre la zona quimiorreceptora disparadora medular. Se absorbe bien por vía oral, su unión a proteínas es de 98% a 99%. Tiene un metabolismo hepático y una pequeña proporción se excreta, inalterada, por riñón. Tiene una vida media de 1 a 4 horas y su acción dura de 3 a 6 horas. Presenta una gran actividad antimuscarínica.","Profilaxis y tratamiento de la cinetosis, profilaxis y tratamiento de náuseas y vómitos; tratamiento del vértigo.","La dosis usual para adultos es de 50mg a 100mg cada 4 horas, hasta un máximo de 400mg por día; la dosis pediátrica es de 5mg/kg divididos en 4 tomas, sin sobrepasar los 300mg diarios.","Somnolencia, depresión del sistema nervioso central, espesamiento de las secreciones bronquiales, sequedad de boca, nariz y garganta. En pacientes de edad avanzada es frecuente la aparición de confusión y dificultad o dolor durante la micción. En niños y ancianos puede dar una reacción paradójica caracterizada por excitación, nerviosismo, inquietud e irritabilidad.","Su uso debe ser cuidadoso cuando se administra a pacientes con asma aguda, por sus efectos antimuscarínicos (espesamiento de secreciones), y a pacientes con obstrucción del cuello vesical o hipertrofia prostática, ya que puede precipitar o agravar la retención urinaria. Su acción antiemética puede dificultar el diagnóstico de enfermedades, como apendicitis, o enmascarar los signos de toxicidad por sobredosificación de otros fármacos. En glaucoma de ángulo abierto puede producir un aumento de la presión intraocular. No se recomienda su uso en mujeres durante la lactancia por el riesgo de producir excitación o irritabilidad en el niño. Es aconsejable no administrarlo juntamente con alcohol u otros depresores del SNC y tener especial precaución si aparece somnolencia. Cuando se utiliza en la profilaxis de la cinetosis debe administrarse, por lo menos, 30 minutos antes de exponerse a la acción que pueda desencadenarla.",El uso simultáneo con depresores del SNC puede potenciar los efectos depresores de ambos medicamentos; la administración con inhibidores de la monoaminooxidasa (IMAO) puede prolongar e intensificar los efectos antimuscarínicos y depresores del SNC del dimenhidrinato.,"No debe administrarse a pacientes con glaucoma de ángulo cerrado, ya que el aumento de la presión intraocular puede precipitar un ataque de glaucoma agudo.",,AGIRAX; DR. AMIN; DRAMAMINE
Nimodipina,https://ar.prvademecum.com/principio-activo/nimodipina-584/,Vasodilatador cerebral.,"La nimodipina es un bloqueante de los canales del calcio. El proceso contráctil de las células musculares lisas depende de los iones Ca++ que penetran en la célula durante la despolarización a través de las corrientes iónicas lentas de transmembrana. La nimodipina inhibe la entrada de calcio en la célula y, por lo tanto, también la contracción del músculo liso vascular. En animales de experimentación, la nimodipina produjo un marcado efecto sobre arterias cerebrales, probablemente por su alta liposolubilidad, lo que le permite su rápido pasaje a través de la barrera hematoencefálica. Sobre la base de tales efectos es muy probable que la nimodipina pueda prevenir el espasmo arterial cerebral en pacientes con hemorragia subaracnoidea. La nimodipina es rápidamente absorbida por vía oral, con un pico de concentración plasmática una hora después de la administración. La vida media de eliminación es de 8h a 9h. No se ha observado acumulación luego de la administración de una toma cada 8h. La unión a las proteínas plasmáticas es de 95%. La eliminación es por metabolismo hepático en 99%. Dado el alto grado de metabolismo de primer paso hepático, la biodisponibilidad oral es baja (13%), y aumenta en forma considerable en pacientes con cirrosis hepática. Es una droga no dializable por su alto grado de unión a proteínas plasmáticas.",Trastornos isquémicos en pacientes con hemorragia subaracnoidea posruptura de aneurismas congénitos.,"Durante 21 días consecutivos 60mg diarios. La terapéutica deberá analizarse dentro de las 96h poshemorragia subaracnoidea. En pacientes con cirrosis hepática las dosis deben reducirse a la mitad (30mg cada 4h), ya que la biodisponibilidad oral aumenta en forma consi<->derable.","El efecto adverso informado con más frecuencia ha sido la hipotensión (4,5%). Los efectos adversos en general aparecen relacionados con altas dosis (60mg a 90mg cada 4h) o con intervalos de administración cortos. Entre ellos se incluyen hepatitis, prurito, hemorragias gastrointestinales, trombocitopenia, anemia, palpitaciones, vómitos, diaforesis, vasospasmo de efecto rebote, hipertensión, edema. Al igual que para otros antagonistas de los canales del calcio, los efectos colaterales más importantes son cefalea, edema, hipotensión, taquicardia y rubefacción facial. Se han descripto casos aislados de aumento de la glucemia en ayunas, incremento de los niveles de LDL, disminución del recuento de plaquetas, aumento de fosfatasa alcalina y de transaminasas (GPT).","Debe monitorearse la tensión arterial en pacientes tratados con nimodipina (5% de los pacientes muestran hipotensión, y 1% debe abandonar la droga por tal motivo). Dado que el metabolismo de la nimodipina disminuye en pacientes con insuficiencia hepática, deben controlarse con asiduidad y ajustar las dosis según los resultados clínicos (tensión arterial y ECG). Raramente se han informado seudoobstrucción intestinal e íleo en pacientes tratados con nimodipina.","La administración junto con cimetidina puede aumentar los niveles séricos de nimodipina, efecto que podría deberse a la inhibición del citocromo P450 hepático por la cimetidina. La administración simultánea de nimodipina y otros hipotensores en pacientes hipertensos puede resultar en un refuerzo del efecto hipotensor.",Hipersensibilidad reconocida a la droga. Bloqueo auriculoventricular. Insuficiencias renal o hepática graves.,,ACIVAL; EXPLANER; EXPLANER LP; MACOBAL; NIMODILAT; NIVAS; NIVAS FORTE
Tocoferol acetato,https://ar.prvademecum.com/principio-activo/tocoferol-acetato-2236/,,,,,,,,,,
Diroximel fumarato,https://ar.prvademecum.com/principio-activo/diroximel-fumarato-7503/,Inmunosupresor.,"El mecanismo por el cual el fumarato de diroximel ejerce sus efectos terapéuticos en la esclerosis múltiple no se conoce por completo. Los estudios preclínicos indican que la respuesta farmacodinámica del monometil fumarato (MMF), el metabolito activo, parece estar mediada, al menos en parte, por la activación de la vía de transcripción del factor nuclear (derivado de eritroide 2) similar a 2 (Nrf2). Se ha demostrado que el MMF regula al alza los genes antioxidantes dependientes de Nrf2 en los pacientes. Absorción: Tras la administración oral, el fumarato de diroximel se metaboliza rápidamente a MMF. La mediana del tiempo hasta alcanzar la concentración máxima (tmax) de MMF es de 2,5 a 3 horas. Distribución: El volumen de distribución del MMF es de 72 a 83 litros. La unión a proteínas plasmáticas humanas es del 28-40 %. Biotransformación: El fumarato de diroximel no es cuantificable en plasma tras la administración oral. Se metaboliza a MMF y a un metabolito inactivo, el 2-hidroxietil succinimida (HES). El MMF se metaboliza posteriormente a ácido fumárico, que forma parte del ciclo del ácido tricarboxílico. Eliminación: La principal vía de eliminación del MMF es la exhalación de dióxido de carbono. Pequeñas cantidades se eliminan a través de la orina y las heces. La semivida de eliminación terminal del MMF es de aproximadamente 1 hora.",Está indicado para el tratamiento de pacientes adultos con esclerosis múltiple remitente-recurrente.,"Dosis inicial: 231 mg dos veces al día. Dosis de mantenimiento: Después de 7 días, la dosis se debe incrementar a la dosis de mantenimiento recomendada de 462 mg dos veces al día. Forma de administración: Las cápsulas deben tragarse enteras y no deben triturarse, disolverse, ni masticarse, ni se debe espolvorear su contenido sobre la comida. Se deben tomar con alimentos.","Las reacciones adversas más frecuentes son: Muy frecuentes (≥1/10): Rubefacción, diarrea, náuseas y dolor abdominal. Frecuentes (≥1/100 a  < 1/10): Linfopenia, leucopenia, vómitos, dispepsia, gastritis, erupción cutánea, eritema, prurito, sensación de ardor y sofocos. Poco frecuentes (≥1/1.000 a  < 1/100): Hipersensibilidad.","Análisis de sangre/pruebas de laboratorio: Se recomienda un hemograma completo reciente (realizado en los últimos 6 meses) antes de iniciar el tratamiento. Se recomienda repetir el hemograma completo cada 6 a 12 meses y cuando esté clínicamente indicado. Linfopenia: puede disminuir los recuentos de linfocitos. Se recomienda interrumpir el tratamiento si el recuento de linfocitos desciende por debajo de 0,5 x 109/l y persiste durante más de seis meses. Leucoencefalopatía multifocal progresiva (LMP): Se han notificado casos de LMP. Los signos y síntomas pueden incluir debilidad progresiva en un lado del cuerpo, torpeza en las extremidades, alteraciones de la visión y cambios en el pensamiento, la memoria y la orientación. Infecciones por herpes zóster: Se han notificado casos graves, incluyendo herpes zóster diseminado, oftálmico, meningoencefalitis y meningomielitis. Función hepática: Pueden producirse alteraciones de las pruebas de la función hepática. Rubefacción: Es una de las reacciones adversas más comunes.","No se han realizado estudios formales de interacciones farmacológicas con fumarato de diroximel. Vacunación: Durante el tratamiento, se debe evitar la vacunación concomitante con vacunas vivas atenuadas. Otros tratamientos para la esclerosis múltiple: No se ha estudiado el uso de fumarato de diroximel con terapias antineoplásicas o inmunosupresoras.",Hipersensibilidad al diroximel. Sospecha o confirmación de leucoencefalopatía multifocal progresiva (LMP).,Se han notificado casos de sobredosis. Los síntomas notificados fueron consistentes con el perfil de reacciones adversas conocido. No existe un tratamiento conocido para la sobredosis. Se recomienda tratamiento de soporte.,
Broncodilatadores beta-2,https://ar.prvademecum.com/principio-activo/broncodilatadores-beta-2-6264/,,,,,,,,,,
Antiuricémicos,https://ar.prvademecum.com/principio-activo/antiuric%C3%A9micos-5023/,,,,,,,,,,
Naranja extracto,https://ar.prvademecum.com/principio-activo/naranja-extracto-2826/,,,,,,,,,,
Passiflora coerulea,https://ar.prvademecum.com/principio-activo/passiflora-coerulea-5257/,,,,,,,,,,
Reishi,https://ar.prvademecum.com/principio-activo/reishi-7566/,,,,,,,,,,
Mesalazina,https://ar.prvademecum.com/principio-activo/mesalazina-2218/,Antiinflamatorio no esteroide intestinal.,"La mesalazina o 5-ASA (ácido-5-aminosalicílico) posee acciones antiinflamatorias (inhibidor de la prostaglandinsintetasa) en el nivel de la mucosa ileal, colónica y rectal. La mesalazina es la fracción activa de la molécula de salazosulfapiridina. Los comprimidos poseen una capa especial que impide que se disuelvan en el estómago, para llegar al íleon y al colon ascendente donde se produce la liberación del 5-ASA y su absorción. El pico plasmático de 5-ASA y su principal metabolito (ácido acetil-5-aminosalicílico) se ha observado a las 5 horas de la administración. La vida media plasmática es de 0,6 a 1,4 horas según las dosis administradas. El 5-ASA y acetil 5-ASA son eliminados por vía renal (44%) y fecal (35%), el resto se elimina sin absorberse.","Colitis ulcerosa (recto, colitis ulcerohemorrágica) en fase aguda o profilaxis de recidivas.","Los comprimidos deben ingerirse antes de las comidas y con abundante líquido. Fase aguda de la colitis ulcerosa: 1,5g a 2,5g por día, divididos en 3 tomas. Tratamiento intercrisis: 1g a 1,5g por día divididos en 2 a 3 tomas. En caso de localizaciones rectales o rectosigmoideas (20cm del margen anal): 2 a 3 supositorios por día durante 4 semanas.","Cefaleas, náuseas, cólicos abdominales, diarrea, pancreatitis (raramente), exantema, fiebre, broncospasmo.",Debe cuidarse el uso en insuficiencia hepática o renal severas. Embarazo. Lactancia (concentraciones de 5-ASA menores o iguales que las plasmáticas).,No se han descripto.,Hipersensibilidad a los salicilatos. Ulcera gastroduodenal.,,5 ASA; 5 ASA 1000; 5 ASA 2000; 5 ASA 4GR; 5 ASA 500; 5 ASA 800; 5 XR 1000; 5 XR 500; BUFEXAN AP; CONDUCTASA; 1; 2
Pirilamina,https://ar.prvademecum.com/principio-activo/pirilamina-2530/,,,,,,,,,,NICAINA; TAFIROL FEM
Rifabutina,https://ar.prvademecum.com/principio-activo/rifabutina-3310/,Antibiótico.,"Es un nuevo antibiótico semisintético que pertenece a la familia de las rifamicinas y, como ellas, desarrolla un potente efecto bactericida sobre numerosas micobacterias típicas (M. avium; M. tuberculosis) y atípicas. Inhibe la síntesis del RNA bacteriano, al ligarse fuertemente con la subunidad beta de la RNA polimerasa dependiente del DNA, con lo que bloquea el proceso de transcripción del RNA. Se absorbe bien en el tracto gastrointestinal luego de su administración por vía oral y alcanza concentraciones bactericidas en sangre y tejidos, en especial en el nivel de los leucocitos y macrófagos. La rifabutina sufre biotransformación hepática y puede inducir enzimáticamente la familia 3A del citocromo P450; se elimina por vía renal y biliar.","Infecciones provocadas por micobacterias [M. tuberculosis, complejo M. avium-intracellulare (MAC)] y otras micobacterias atípicas. Profilaxis en pacientes neutropénicos e inmunosuprimidos con niveles de CD4 iguales o menores a 200/ml.",Se puede administrar como antibiótico único por vía oral y en una única dosis diaria independientemente de las comidas en dosis de 300mg. Cuando se lo combina en esquemas terapéuticos con otros quimioterápicos la dosis aconsejada es 450-600mg diarios. Para micobacterias no tuberculosas deberá administrarse durante los 6 meses posteriores a la negativización de los cultivos. En pacientes con tuberculosis pulmonar crónica multirresistente se indican 300-450mg diarios durante los 6 meses posteriores a la negativización bacteriológica y en tuberculosis pulmonar de diagnóstico reciente 150mg/día durante 6 meses.,,"Puede colorear la piel, orina y secreciones (rojo-anaranjado). Las lentes de contacto blandas pueden mancharse en forma permanente. Emplear con precaución en pacientes con insuficiencia hepática o renal grave, en quienes la dosis deberá reducirse a la mitad. Durante los tratamientos prolongados, controlar la función medular y hepática, en especial cuando se realizan tratamientos asociados.","La administración simultánea de fármacos anticonceptivos de naturaleza hormonal puede afectar la eficacia de éstos. Como la rifabutina actúa como inductora de las enzimas hepáticas en el nivel del citocromo P450, puede afectar la farmacocinética de numerosas drogas que tienen un proceso biometabólico similar (teofilina, sulfonamidas, fluconazol, cimetidina).",Hipersensibilidad al fármaco o a los derivados de la rifamicina. Embarazo y lactancia.,,TAMBUX
Agua micelar,https://ar.prvademecum.com/principio-activo/agua-micelar-7521/,,,,,,,,,,
Triticum vulgare,https://ar.prvademecum.com/principio-activo/triticum-vulgare-3992/,,,,,,,,,,CICATUL N.F.
Agentes descamantes,https://ar.prvademecum.com/principio-activo/agentes-descamantes-4228/,,,,,,,,,,
Tafasitamab,https://ar.prvademecum.com/principio-activo/tafasitamab-7573/,Anticuerpo monoclonal humanizado que actúa sobre el sistema inmunológico.,"El tafasitamab se une específicamente al antígeno CD19, una proteína que se expresa en la superficie de los linfocitos B precursores y maduros, incluidos los de tumores malignos de linfocitos B. Tras la unión al CD19, el fármaco media la lisis de los linfocitos B mediante la inducción de la apoptosis y a través de mecanismos efectores inmunitarios como la citotoxicidad celular dependiente de anticuerpos y la fagocitosis celular dependiente de anticuerpos. Desde el punto de vista farmacocinético, se administra por vía intravenosa y se distribuye por el organismo, degradándose posteriormente en pequeños péptidos y aminoácidos mediante vías catabólicas generales.",Está indicado para el tratamiento de pacientes adultos con linfoma difuso de linfocitos B grandes recidivante o refractario que no son candidatos a un trasplante autólogo de células madre. Se utiliza en combinación con lenalidomida seguido de tratamiento con tafasitamab en monoterapia.,"La dosis recomendada es de 12 mg por kilogramo de peso corporal administrados mediante perfusión intravenosa. El tratamiento se organiza en ciclos de 28 días. Durante el ciclo 1, la administración se realiza los días 1, 4, 8, 15 y 22. En los ciclos 2 y 3, se administra los días 1, 8, 15 y 22. A partir del ciclo 4 en adelante, se administra los días 1 y 15. Minjuvi se administra junto con lenalidomida durante un máximo de doce ciclos, tras lo cual se continúa con Minjuvi en monoterapia los días 1 y 15 de cada ciclo hasta la progresión de la enfermedad o toxicidad inaceptable. Se debe administrar premedicación a los pacientes antes de comenzar la perfusión para reducir el riesgo de reacciones relacionadas con la misma.","Las reacciones adversas más frecuentes incluyen infecciones como neumonía, infecciones del tracto urinario y del tracto respiratorio superior, así como trastornos de la sangre como neutropenia, trombocitopenia, anemia y leucopenia. Otros efectos secundarios comunes son erupción cutánea, diarrea, dolor abdominal, náuseas, vómitos, estreñimiento, edema periférico, pirexia, tos, disnea, astenia, hipopotasemia, disminución del apetito, dolor de espalda, espasmos musculares y dolor en las extremidades. También pueden producirse reacciones relacionadas con la perfusión que incluyen escalofríos, rubefacción y disnea.","Se deben monitorizar las reacciones relacionadas con la perfusión y, en caso de presentarse, interrumpir, reducir la velocidad o detener la perfusión según la gravedad. Existe un riesgo de mielosupresión grave, incluyendo neutropenia y trombocitopenia, por lo que se deben realizar hemogramas completos frecuentemente durante el tratamiento. Los pacientes tienen un mayor riesgo de infecciones graves y oportunistas, que deben ser monitorizadas y tratadas. Se debe vigilar la posible aparición del síndrome de lisis tumoral. Las mujeres en edad fértil deben utilizar métodos anticonceptivos eficaces durante el tratamiento y hasta al menos tres meses después de la última dosis.","No se han realizado estudios formales de interacciones medicamentosas. Dado que el tafasitamab no se metaboliza a través de las enzimas del citocromo P450 ni interactúa con bombas transportadoras, no se esperan interacciones farmacocinéticas clínicamente relevantes con otros medicamentos.",Hipersensibilidad al tafasitamab. También está contraindicada la lactancia durante el tratamiento y hasta tres meses después de la última dosis.,"En caso de sobredosis, no existe un tratamiento específico disponible. El manejo consiste en la observación de los signos vitales y la aplicación de medidas de soporte sintomático generales para el paciente.",MINJUVI
Poleo,https://ar.prvademecum.com/principio-activo/poleo-5636/,,,,,,,,,,
Imatinib,https://ar.prvademecum.com/principio-activo/imatinib-4743/,,,"Leucemia mieloide crónica (LMC) en crisis blástica, en fase acelerada, o en fase crónica tras el fracaso de un tratamiento con interferón alfa.","LMC en fase crónica: dosis inicial, vía oral, 400mg por día. Dosis de mantenimiento, vía oral, 400 a 600mg por día. LCM en fase acelerada o en crisis blástica: dosis inicial, vía oral, 600mg por día. Dosis de mantenimiento, vía oral, 600 a 800mg por día.","Las principales reacciones adversas incluyen trombocitopenia, anemia, neutrocitopenia febril, pancitopenia, cefalea, náuseas, vómitos, diarrea, dispepsia, edema periorbitario, dermatitis, eccema, exantema, espasmos y calambres musculares, dolor musculoesquelético, hinchazón articular, edema por retención de líquido y anorexia. Menos frecuentemente se observa deshidratación, hiperuricemia, hipopotasemia, hiperpotasemia, hiponatremia, aumento de apetito, mareo, disgeusia, parestesia, insomnio, conjuntivitis, aumento de lagrimeo, epistasia, disnea, tos, distensión abdominal, flatulencia, estreñimiento, sequedad bucal, edema facial, edema palpebral, prurito, eritema, sequedad de piel, alopecia, sudores nocturnos, pirexia, fatiga, debilidad, escalofríos. Menos frecuentemente aún se observa herpes común, herpes zoster, infección de las vías respiratorias superiores, depresión, neuropatía periférica, hipoestesia, somnolencia, migraña, irritación ocular, vista borrosa, hemorragia conjuntival, xeroftalmía, edema orbitario, vértigo, taquicardia, rubefacción, frialdad periférica, hemorragia gastrointestinal, melena, úlcera gástrica, gastritis, reflujo gastroesofágico, ulceración bucal, ictericia, aumento de enzimas hepáticas, hiperbilirrubinemia, sudación elevada, urticaria, onicoclasia, reacción de fotosensibilidad, púrpura, insuficiencia renal, ginecomastia, hipertrofia mamaria y edema testicular.",Imatinib debe administrarse junto con algún alimento y abundante agua a fin de reducir el riesgo de trastornos gastrointestinales. Administrar con precaución a pacientes con insuficiencia hepática. No administrar a mujeres durante el embarazo y el período de lactancia.,"Los inhibidores de la actividad isoenzimática CYP3A4 del citocromo P450 pueden reducir el metabolismo e incrementar las concentraciones del imatinib. Por el contrario, las drogas inductoras de la actividad isoenzimática CYP3A4 pueden aumentar el metabolismo y reducir las concentraciones plasmáticas del imatinib. No administrar imatinib simultáneamente con paracetamol.",Hipersensibilidad a la droga.,,AGACEL; CLINID; GLIVEC; IMATIB; IMATINIB GP PHARM; IMATINOVA; IMATIXA; INGERINIB; MATIN; MESINIB; 1; 2
Nitisinona,https://ar.prvademecum.com/principio-activo/nitisinona-6324/,Tratamiento de la tirosinemia hereditaria tipo I (TH-1).,"En la tirosinemia hereditaria tipo 1 existe un defecto bioquímico que es el déficit de la fumarilacetoacetato-hidrolasa que es la enzima final de la cascada metabólica de la tirosina y, casualmente, la nitisinona inhibe en forma competitiva la 4-hidroxilfenilpiruvato dioxigenasa que es la enzima anterior a la fumarilacetoacetato-hidrolasa. Debido a esta acción, la nitisinona impide la acumulación de los productos intermedios tóxicos (maleilacetoacetato y fumarilacetoacetato). En esta patología hereditaria éstos tóxicos se convierten en succinilacetona y succinilacetoacetato; el primero de éstos inhibe la ruta metabólica de la porfirina y lleva a la acumulación del 5-aminolevulinato. El tratamiento con nitisinona normaliza el metabolismo de la porfiria, se reduce la excreción urinaria de succinilacetona y aumenta la concentración plasmática de tirosina. No se han desarrollado estudios formales de su farmacocinética.",Tirosinemia hereditaria tipo 1.,La dosis inicial es de 1mg/kg/día dividida en 2 tomas por vía oral. Se requiere una estricta dieta pobre en tirosina y fenilalanina. La dosis máxima aconsejada es de 2mg/kg/día.,"Se han señalado a nivel hematológico leuco, granulo y trombocitopenia; a nivel ocular: queratitis, fotofobia, dolor ocular, opacidad corneal; y a nivel dermatológico: prurito, dermatitis exfoliativa, exantema eritematoso, hiperqueratosis.",Durante el tratamiento se deberá controlar la función hepática y hemática y además se realizará una exploración oftalmológica con lámpara de hendidura antes de iniciar el tratamiento. Se debe monitorear la concentración de alfa-fetoproteína sérica ya que su aumento señalaría una falla en la terapia. No debería emplearse durante el embarazo excepto si fuese estrictamente indispensable.,No se han desarrollado.,Hipersensibilidad o alergia al fármaco. Lactancia.,,NITINE; ORFADIN
Aceite de hígado de bacalao,https://ar.prvademecum.com/principio-activo/aceite-h%C3%ADgado-bacalao-2642/,,,,,,,,,,CICATREX BABY
Calcio sacarato,https://ar.prvademecum.com/principio-activo/calcio-sacarato-3427/,,,,,,,,,,
Vacuna antitífica,https://ar.prvademecum.com/principio-activo/vacuna-antit%C3%ADfica-5099/,,,,,,,,,,TYPHIM VI
Radioterapia,https://ar.prvademecum.com/principio-activo/radioterapia-4490/,,,,,,,,,,
Nácares sublimadores,https://ar.prvademecum.com/principio-activo/n%C3%A1cares-sublimadores-7616/,,,,,,,,,,
Harpagofito,https://ar.prvademecum.com/principio-activo/harpagofito-4450/,,,,,,,,,,
Glicirizato dipotásico,https://ar.prvademecum.com/principio-activo/glicirizato-dipot%C3%A1sico-6949/,,,,,,,,,,
Cumarina,https://ar.prvademecum.com/principio-activo/cumarina-2390/,Linfocinético.,"Con el nombre genérico de benzopironas se agrupan diversas sustancias (cumarinas, troxerutina, diosmina, rutósidos) que se caracterizan por sus acción linfocinética en los diferentes tipos de linfedema y estados linfostáticos. El modo de acción de estos agentes se realiza sobre la eliminación proteica de los macrófagos, aumentando su excreción, con lo que se reduce el edema y la reacción inflamatoria crónica. Los estudios clínicos realizados demuestran que estos derivados cumarínicos reducen tanto el linfedema como la elefantiasis, evitan el exceso de fibrosis y las infecciones cutáneas. Su acción es lenta, pero permiten la remodelación del tejido fibroso, y no solamente reducen el volumen del linfedema sino también el dolor, la limitación funcional. En resumen, las benzopironas reducen todos los tipos de edema causados por proteínas de alto peso molecular, produciendo macrofagia mediante la proteólisis que a su vez actúa sobre la presión osmótica coloidal y por esta vía se remueven las proteínas retenidas. Se ha señalado también que las benzopironas activan el bombeo de los colectores linfáticos, lo que unido a la proteólisis reduce el edema. Se aconsejan las terapias combinadas con cumarinas oral y tópica que logran una mejor y más rápida actividad terapéutica.","Linfedema post consecuencia de mastectomía, orquidectomía, post cirugía o radioterapia con remoción ganglionar en miembros y pelvis. Elefantiasis congénita o adquirida. Erisipelas recidivantes. Insuficiencia venosa crónica con compromiso linfático avanzado. Filariasis. Celulitis. Linfangitis. Edema linfostático.","Dosis inicial: oral, 45mg tres veces al día. Dosis de mantenimiento: oral, 30mg tres veces al día. Dosis: tópica, 2 a 4 aplicaciones por día en la zona afectada de benzopirona al 1%.","Los efectos adversos incluyen leve intolerancia digestiva que desaparece luego del primer mes de tratamiento y, a altas dosis, se ha descripto el padecimiento de vértigo, náusea, prurito y somnolencia.",Se aconseja no exceder las dosis señaladas y que el tratamiento no supere los 2 años. Se recomienda realizar controles hepáticos mensuales hasta los nueve meses o el año de tratamiento.,,,,ESBERIVEN EMULSION
Fibras solubles,https://ar.prvademecum.com/principio-activo/fibras-solubles-7287/,,,,,,,,,,FIBER MAIS
Lecitina de soja,https://ar.prvademecum.com/principio-activo/lecitina-soja-4439/,,,,,,,,,,BAGOVIT FACIAL PRO ESTRUCTURA; HERBACCION MEMORY
Oligómeros procianidólicos,https://ar.prvademecum.com/principio-activo/olig%C3%B3meros-procianid%C3%B3licos-652/,,,,,,,,,,CLEVOSAN
