nombre_producto,url,nombre_laboratorio,descripcion,composicion,indicaciones,presentacion,principios_activos,patologias,error
HEPARINA DUNCAN,https://ar.prvademecum.com/medicamento/heparina-duncan-22364/,DUNCAN,Heparina. Anticoagulante. 5000UI /ml F.Amp. x 1 x 5ml. 5000UI /ml F.Amp. x 50 x 5ml EH.,,,,Heparina,Tromboembolismo y trombosis,
HEPARINA GEMEPE,https://ar.prvademecum.com/medicamento/heparina-gemepe-27469/,GEMEPE,Heparina. Anticoagulante. 5000UI /ml F.Amp. x 100 x 5ml.,,,,Heparina,Tromboembolismo y trombosis,
HEPARINA PHARMAVIAL,https://ar.prvademecum.com/medicamento/heparina-pharmavial-29669/,IBC,Heparina. Anticoagulante. 5000UI F.Amp. x 50 x 5ml EH.,,,,Heparina,Tromboembolismo y trombosis,
HEPARINA SODICA LARJAN,https://ar.prvademecum.com/medicamento/heparina-sodica-larjan-18722/,VEINFAR,Heparina. Antitrombótico. 5000UI F.Amp. x 100 x 5ml EH.,,,,Heparina,Tromboembolismo y trombosis,
HEPARINA SODICA RICHMOND,https://ar.prvademecum.com/medicamento/heparina-sodica-richmond-2099/,RICHMOND,Anticoagulante.,Heparina sódica 5.000UI/ml.,,Envases hospitalarios conteniendo 100 frascos ampolla de 5ml.,Heparina,Tromboembolismo y trombosis,
HEPARINOX,https://ar.prvademecum.com/medicamento/heparinox-27846/,DENVER FARMA,Agente antitrombótico - Heparina de bajo peso molecular.,"Cada jeringa prellenada de HEPARINOX® 40 mg contiene: Enoxaparina sódica 40 mg (equivalente a 4.000 UI), agua para inyectable c.s.p. 0.4 ml. Cada jeringa prellenada de HEPARINOX® 60 mg contiene: Enoxaparina sódica 60 mg (equivalente a 6.000 UI), agua para inyectable c.s.p. 0.6 ml. Cada jeringa prellenada de HEPARINOX® 80 mg contiene: Enoxaparina sódica 80 mg (equivalente a 8.000 UI), agua para inyectable c.s.p. 0.8 ml.","Profilaxis de enfermedad venosa tromboembólica, especialmente aquella que podría estar relacionada con cirugía general u ortopédica. Profilaxis del tromboembolismo venoso en pacientes postrados en cama debido a enfermedades agudas tales como insuficiencia cardíaca, insuficiencia respiratoria, infecciones graves o enfermedades reumáticas. Tratamiento de trombosis venosa profunda, con o sin embolismo pulmonar. Prevención de formación de trombos en la circulación extracorpórea durante hemodiálisis. Tratamiento de angina inestable e infarto miocárdico no-Q con administración concomitante de aspirina. Tratamiento del Infarto Agudo de Miocardio con elevación de segmento ST (STEMI, ST-Segment Elevation Myocardial Infarction), incluyendo pacientes a ser manejados médicamente ó con subsiguiente Intervención Percutánea Coronaria (IPC).",HEPARINOX® 40 mg/0.4 ml: 10 jeringas prellenadas con 0.4 ml de solución. HEPARINOX® 60 mg/0.6 ml: 10 jeringas prellenadas con 0.6 ml de solución. HEPARINOX® 80 mg/0.8 ml: 10 jeringas prellenadas con 0.8 ml de solución.,Enoxaparina sódica,Tromboembolismo y trombosis,
HEPATALGINA,https://ar.prvademecum.com/medicamento/hepatalgina-2102/,ELEA,Colerético. Colagogo. Hepatoprotector.,Cada 100 ml contiene: Alcoholaturo de Alcachofa (1:1.75) 46.228 ml; Tintura de Boldo Concentrada (2/1) 7.544 ml; Alcoholaturo de Daucus Carota (1:1) 46.228 ml; Mentol 0.152 g. Excipientes cs.,,45 ml y 120 ml.,Boldo extracto; Cynara scolymus; Daucus carota extracto; Dehidrocólico ácido; Desoxicólico ácido; Mentol,Insuficiencia hepatovesicular y pancreática,
HEPATALGINA 9 HIERBAS,https://ar.prvademecum.com/medicamento/hepatalgina-9-hierbas-30176/,ELEA,Antiespasmódico. Got. x 50ml.,,,,Alcaravea; Angélica; Cardo mariano; Carraspique blanco; Celidonia; Manzanilla; Melisa; Menta; Regaliz,Insuficiencia hepatovesicular y pancreática,
HEPATALGINA EFERVESCENTE,https://ar.prvademecum.com/medicamento/hepatalgina-efervescente-31352/,ELEA,Digestivo. Hepatoprotector. Sobres x 1 x 5g. Sobres x 12 x 5g c/u.,,,,Boldo extracto; Carqueja extracto; Cynara scolymus,Insuficiencia hepatovesicular y pancreática,
HEPATRIET,https://ar.prvademecum.com/medicamento/hepatriet-19194/,CRAVERI,Antitrombótico. Antiflebítico local.,Heparina sódica 1.000UI/g.,,Gel x 60g.,Heparina,Várices - Linfopatías,
HERBACCION GINKGO FORTE,https://ar.prvademecum.com/medicamento/herbaccion-ginkgo-forte-23470/,ISA,Vasorregulador. Comp. x 30.,,,,Ginkgo biloba; Riboflavina; Vitamina B1; Vitamina B6,Insuficiencia circulatoria cerebral y perif.,
HERBACCION MEMORY,https://ar.prvademecum.com/medicamento/herbaccion-memory-13711/,ISA,Vasorregulador. Comp. x 30.,,,,Ginkgo biloba; Lecitina de soja; Piridoxina; Tiamina,Insuficiencia circulatoria cerebral y perif.,
HERBACCION SEDANTE,https://ar.prvademecum.com/medicamento/herbaccion-sedante-29429/,ISA,Sedante. Comp. x 30.,,,,Passiflora incarnata; Tilo extracto; Valeriana,Ansiedad,
HERBACCION VIGOR,https://ar.prvademecum.com/medicamento/herbaccion-vigor-23469/,ISA,Bioenergizante. Comp. x 30.,,,,Ginseng; Guaraná; Magnesio,Astenia psicofísica,
HERBATOL MIEL FORTE,https://ar.prvademecum.com/medicamento/herbatol-miel-forte-22715/,GEZZI,Expectorante y mucolítico.,Extracto seco de hojas de hiedra desecada. Hedera helix L. Araliceae.,"Jarabe para la tos de origen natural tradicionalmente utilizado para el alivio del catarro bronquial, que combate hasta la tos más rebelde.",Envase conteniendo 120 ml.,Hedera helix,Bronquitis,
Herceptin®,https://ar.prvademecum.com/medicamento/herceptin-11262/,ROCHE,Trastuzumab.,"Cada vial monodosis contiene 150 mg de trastuzumab, en un excipiente compuesto por clorhidrato de L-histidina 3,36 mg, L-histidina 2,16 mg, dihidrato de a, a-trehalosa 136,2 mg y polisorbato 20: 0,60 mg. Disolvente: No se suministra el agua para las preparaciones inyectables. Cada vial multidosis contiene 440 mg de trastuzumab, en un excipiente compuesto por clorhidrato de L-histidina 9,9 mg, L-histidina 6,4 mg, dihidrato de a, a-trehalosa 400,0 mg y polisorbato 20: 1,8 mg. Disolvente: Cada vial contiene agua bacteriostática para inyectables c.s.p. 20,9 ml (como disolvente) y alcohol bencílico 229,9 mg (1,1%, como conservante antimicrobiano). Herceptin 150 mg y 440 mg es un polvo liofilizado para preparar una solución concentrada administrable en infusión de color blanco a amarillo pálido. El concentrado reconstituido de Herceptin contiene 21 mg/ml de trastuzumab. El disolvente es un líquido límpido e incoloro.","Cáncer de Mama: Cáncer de Mama Metastásico (CMM): Herceptin está indicado para el tratamiento de pacientes adultos con cáncer de mama metastásico (CMM) HER2 positivo: Como monoterapia para el tratamiento de aquellos pacientes que hayan recibido por lo menos dos regímenes quimioterápicos para su enfermedad metastásica. La quimioterapia previa debe haber incluido por lo menos una antraciclina y un taxano, excepto que estos tratamientos no estén indicados en los pacientes. Los pacientes con receptores hormonales positivos también deben haber fracasado al tratamiento hormonal, excepto que éste no esté indicado. En combinación con paclitaxel para el tratamiento de aquellos pacientes que no hayan recibido quimioterapia para su enfermedad metastásica y en los cuales no esté indicado un tratamiento con antraciclinas. En combinación con docetaxel para el tratamiento de aquellos pacientes que no hayan recibido quimioterapia para su enfermedad metastásica. En combinación con un inhibidor de la aromatasa para el tratamiento de pacientes posmenopáusicas con cáncer de mama metastásico y receptor hormonal positivo, que no hayan sido previamente tratadas con trastuzumab. Cáncer de Mama Precoz (CMP): Herceptin está indicado para el tratamiento de pacientes adultos con cáncer de mama precoz (CMP) HER2 positivo: Después de cirugía, quimioterapia (adyuvante o neoadyuvante) y radioterapia (si corresponde) (ver Farmacología, Propiedades farmacodinámicas). Después de quimioterapia adyuvante con doxorrubicina y ciclofosfamida, en combinación con paclitaxel o docetaxel. En combinación con quimioterapia adyuvante consistente en docetaxel y carboplatino. En combinación con quimioterapia neoadyuvante seguido de tratamiento en adyuvancia con Herceptin para enfermedad localmente avanzada (incluyendo enfermedad inflamatoria) o tumores > 2 cm de diámetro (véanse Precauciones y Farmacología, Propiedades farmacodinámicas). Herceptin debe emplearse únicamente en pacientes con cáncer de mama metastásico o cáncer de mama precoz, cuyos tumores sobreexpresen HER2 o tengan amplificación del gen HER2 determinados mediante un método exacto y validado (véanse Precauciones y Farmacología, Propiedades farmacodinámicas). Cáncer gástrico metastásico (CGM): Herceptin en combinación con capecitabina o 5-fluorouracilo y cisplatino, está indicado para el tratamiento de pacientes adultos con adenocarcinoma gástrico o unión gastroesofágica metastásico, HER2 positivo, que no hayan recibido un tratamiento previo para las metástasis. Herceptin debe emplearse únicamente en pacientes con cáncer gástrico metastásico, cuyos tumores sobreexpresen HER2, definido por IHQ2+ y confirmado por un resultado SISH o FISH o por un resultado IHQ3+. Se debe emplear un método exacto y validado (ver Precauciones y Farmacología, Propiedades farmacodinámicas).",Vial con 150 mg de trastuzumab: envase con 1. Vial con 440 mg de trastuzumab + 1 vial con 20 ml de agua bacteriostática para inyectables: envase con 1.,Trastuzumab,Cáncer,
Herceptin® s.c.,https://ar.prvademecum.com/medicamento/herceptin-sc-25508/,ROCHE,Trastuzumab.,"Cada vial de 6 ml, con 5 ml de solución para inyección subcutánea, contiene 600 mg de trastuzumab (120 mg/ml), en un excipiente compuesto por hialuronidasa humana recombinante (rHuPH20) 10.000 U (corresponde a ≤ 173 mg rHuPH20), L-histidina 1,95 mg, L-hidrocloruro de histidina monohidrato 18,35 mg, a,a-trehalosa dihidrato 397,25 mg, L-metionina 7,45 mg, polisorbato 20: 2,0 mg y agua para inyectables c.s.p. 5 ml.","Cáncer de Mama: Cáncer de Mama Metastásico (CMM): Herceptin está indicado para el tratamiento de pacientes adultos con cáncer de mama metastásico (CMM) HER2 positivo: Como monoterapia para el tratamiento de aquellos pacientes que hayan recibido por lo menos dos regímenes quimioterápicos para su enfermedad metastásica. La quimioterapia previa debe haber incluido por lo menos una antraciclina y un taxano, excepto que estos tratamientos no estén indicados en los pacientes. Los pacientes con receptores hormonales positivos también deben haber fracasado al tratamiento hormonal, excepto que éste no esté indicado. En combinación con paclitaxel para el tratamiento de aquellos pacientes que no hayan recibido quimioterapia para su enfermedad metastásica y en los cuales no esté indicado un tratamiento con antraciclinas. En combinación con docetaxel para el tratamiento de aquellos pacientes que no hayan recibido quimioterapia para su enfermedad metastásica. En combinación con un inhibidor de la aromatasa para el tratamiento de pacientes posmenopáusicas con cáncer de mama metastásico y receptor hormonal positivo, que no hayan sido previamente tratadas con trastuzumab. Cáncer de Mama Precoz (CMP): Herceptin está indicado para el tratamiento de pacientes adultos con cáncer de mama precoz (CMP) HER2 positivo: Después de cirugía, quimioterapia (adyuvante o neoadyuvante) y radioterapia (si corresponde) (véase Farmacología, Propiedades farmacodinámicas). Después de quimioterapia adyuvante con doxorrubicina y ciclofosfamida, en combinación con paclitaxel o docetaxel. En combinación con quimioterapia adyuvante consistente en docetaxel y carboplatino. En combinación con quimioterapia neoadyuvante seguido de tratamiento en adyuvancia con Herceptin para enfermedad localmente avanzada (incluyendo enfermedad inflamatoria) o tumores > 2 cm de diámetro (véanse Precauciones y Farmacología, Propiedades farmacodinámicas). Herceptin debe emplearse únicamente en pacientes con cáncer de mama metastásico o cáncer de mama precoz, cuyos tumores sobreexpresen HER2 o tengan amplificación del gen HER2 determinados mediante un método exacto y validado (véanse Precauciones y Farmacología, Propiedades farmacodinámicas).","Vial de 6 ml, con 5 ml de solución para inyección subcutánea, con 600 mg (120 mg/ml) de trastuzumab: envase con 1.",Trastuzumab,Cáncer,
HESSICO,https://ar.prvademecum.com/medicamento/hessico-14987/,RIVERO,Expansor plasmático.,"Hidroxietilalmidón 200/0,5 al 6% en solución isotónica de cloruro de sodio.",,"Catálogo 953-A: frasco de vidrio PARENTGLASS con 500ml de hidroxietilalmidón 200/0,5 al 6%, en solución isotónica de cloruro de sodio, acompañado por un equipo de administración VERSASET V-13V. Catálogo 653-A: envase plástico flexible SOLUFLEX con 50ml de hidroxietilalmidón 200/0,5 al 6%, en solución isotónica de cloruro de sodio.",Hidroxietil almidón,Hemorragias,
HEXA DEFITAL NF,https://ar.prvademecum.com/medicamento/hexa-defital-n-f--2118/,MILLET,Ectoparasiticida de uso externo para el tratamiento de la pediculosis del cuero cabelludo.,"Cada 100 ml contiene: Decametrina 20 mg, Piperonilbutóxido 2,4 g.",Tratamiento de la pediculosis del cuero cabelludo.,Envase conteniendo 120 ml.,Decametrina; Piperonilo butóxido,Escabiosis; Pediculosis,
HEXA DEFITAL REPELENTE,https://ar.prvademecum.com/medicamento/hexa-defital-repel-piojos-23468/,MILLET,Repelente de piojos testeado clínica y dermatológicamente.,IR 3535 (Etilbutil amino propionato) al 20 %.,Prevención de la pediculosis.,Envase con 50 ml y Spray con 120 ml.,Ethyl Butylactylaminopropionate,Pediculosis,
HEXALER,https://ar.prvademecum.com/medicamento/hexaler-16141/,SIEGFRIED,Antialérgico. Antihistamínico.,Hexaler Comprimidos: Cada comprimido recubierto contiene: Desloratadina 5 mg. Excipientes c. s. Hexaler Jarabe: Cada 100 ml de jarabe contiene: Desloratadina 50 mg. Excipientes c. s.,"Hexaler Comprimidos está indicado para el tratamiento sintomático de la rinitis alérgica estacional y la urticaria idiopática crónica. Rinitis alérgica (fiebre del heno), que se manifiesta por medio de estornudos, secreción y picazón nasal así como picazón, ardor, lagrimeo y enrojecimiento ocular y prurito del paladar. Urticaria crónica acompañada de síntomas de prurito, enrojecimiento y ronchas en la piel. Hexaler Jarabe está indicado para el alivio de los síntomas asociados con la rinitis alérgica estacional (RAE) en pacientes de 2 años de edad y mayores, y para el alivio de los síntomas asociados con la rinitis alérgica perenne (RAP) en pacientes de 6 meses de edad y mayores. Hexaler Jarabe también está indicado para el alivio de los síntomas asociados con la urticaria idiopática crónica (UIC) en pacientes de 6 meses de edad y mayores. Rinitis alérgica (fiebre del heno), que se manifiesta por medio de estornudos, secreción y picazón nasal así como picazón, ardor, lagrimeo y enrojecimiento ocular y prurito del paladar. Urticaria crónica acompañada de síntomas de prurito, enrojecimiento y ronchas en la piel.",Hexaler Comprimidos: Envases conteniendo 7 y 14 comprimidos. Hexaler Jarabe: Frasco conteniendo 60 ml de jarabe. Se acompaña de vaso y jeringa dosificadora.,Desloratadina,Alergia,
HEXALER BRONQUIAL,https://ar.prvademecum.com/medicamento/hexaler-bronquial-21034/,SIEGFRIED,Antiasmático. Corticosteroide.,Hexaler Bronquial 200: Cada cápsula con polvo para inhalar contiene: Mometasona Furoato 200 mcg. Excipientes c.s. Hexaler Bronquial 400: Cada cápsula con polvo para inhalar contiene: Mometasona Furoato 400 mcg. Excipientes c.s.,Hexaler Bronquial está indicado como tratamiento de mantenimiento en pacientes con asma persistente que requieren corticosteroides para controlar la inflamación de la vía aérea.,Hexaler Bronquial 200: Envase conteniendo 30 cápsulas con polvo para inhalar con dispositivo inhalatorio. Hexaler Bronquial 400: Envase conteniendo 30 cápsulas con polvo para inhalar con dispositivo inhalatorio.,Mometasona,Asma bronquial,
HEXALER BRONQUIAL DUO,https://ar.prvademecum.com/medicamento/hexaler-bronquial-duo-23705/,SIEGFRIED,Antiasmático. Broncodilatador de acción prolongada.,Hexaler Bronquial Duo 200/10 mcg: Cada cápsula con polvo para inhalar contiene: Mometasona Furoato 200 mcg (*); Formoterol Fumarato Dihidrato 10 mcg (*). Excipientes: Lactosa Monohidrato. (*) A la salida del actuador. Hexaler Bronquial Duo 400/10 mcg: Cada cápsula con polvo para inhalar contiene: Mometasona Furoato 400 mcg (*); Formoterol Fumarato Dihidrato 10 mcg (*). Excipientes: Lactosa Monohidrato. (*) A la salida del actuador.,"Tratamiento del asma: Hexaler Bronquial Dúo está indicado para el tratamiento del asma en pacientes mayores de 12 años. Hexaler Bronquial Dúo sólo debería ser utilizado en pacientes no adecuadamente controlados con medicación para control de asma de largo plazo -como corticoides inhalatorios- o en aquellos en los que la severidad de la enfermedad requiere claramente iniciar el tratamiento combinado con un corticoide inhalatorio más un agonista beta-adrenérgico de acción prolongada (LABA). Una vez obtenido y mantenido el control del asma, se deberá evaluar al paciente a intervalos regulares y de ser posible, pasar al paciente a una medicación para control de largo plazo como un corticoide inhalatorio. Hexaler Bronquial Dúo no está indicado para el alivio de las crisis agudas de broncoespasmo.",Hexaler Bronquial Dúo cápsulas con polvo para inhalar 200/10: Envase conteniendo 60 cápsulas con polvo para inhalar y dispositivo inhalador. Hexaler Bronquial Dúo cápsulas con polvo para inhalar 400/10: Envase conteniendo 60 cápsulas con polvo para inhalar y dispositivo inhalador.,Mometasona; Formoterol,Asma bronquial,
HEXALER CORT,https://ar.prvademecum.com/medicamento/hexaler-cort-19854/,SIEGFRIED,"Antialérgico, antiinflamatorio, antihistamínico.","Comprimidos: Cada comprimido recubierto contiene: Desloratadina 5 mg; Betametasona 0.6 mg. Excipientes: c.s. Jarabe: Cada 100 ml contiene: Desloratadina 0.100 g; Betametasona 0,005 g. Excipientes: c.s.","Hexaler Cort está indicado en los estados alérgicos severos que requieran el tratamiento con una asociación de un antihistamínico y un corticoide sistémico: dermatitis atópica, angioedema, urticaria, rinitis alérgica estacional y perenne, reacciones alérgicas alimenticias y medicamentosas, dermatitis alérgica por contacto y manifestaciones oculares de tipo alérgico, tales como conjuntivitis alérgica.",Hexaler Cort Comprimidos recubiertos: Envase conteniendo 10 comprimidos recubiertos. Hexaler Cort Jarabe: Envase conteniendo 60 ml de jarabe. Se acompaña de vaso y jeringa dosificadora.,Desloratadina; Betametasona,Alergia; Conjuntivitis alérgicas; Dermatitis alérgicas; Rinitis,
HEXALER NASAL,https://ar.prvademecum.com/medicamento/hexaler-nasal-19070/,SIEGFRIED,Corticoide antiinflamatorio y antialérgico nasal.,Cada dosis contiene: Mometasona Furoato 50 mcg. Excipientes: c.s.,"Tratamiento de los síntomas de la rinitis alérgica estacional y perenne en adultos, adolescentes y niños de 2 a 11 años. Prevención de los síntomas nasales de la rinitis alérgica estacional en pacientes adultos y adolescentes de 12 años o mayores. En pacientes con antecedentes de rinitis alérgica estacional moderada a severa, se recomienda comenzar el tratamiento preventivo con Hexaler Nasal desde 2 a 4 semanas antes del comienzo de la estación del polen.",Envase conteniendo 120 dosis de spray nasal.,Mometasona,Rinitis,
HEXALER NASAL PLUS,https://ar.prvademecum.com/medicamento/hexaler-nasal-plus-31826/,SIEGFRIED,"Corticoide antiinflamatorio, antialérgico y descongestivo nasal.","Cada dosis (0,10 ml) contiene: Mometasona Furoato 25 mcg, Olopatadina 600 mcg. Excipientes: Cloruro de benzalconio 0,020 mg; Polisorbato 80 0,005 mg; Fosfato disódico dodecahidratado 0,500 mg; Edetato disódico dihidrato 0,010 mg; Celulosa microcristalina y Carboximetilcelulosa sódica 1,200 mg; Carboximetilcelulosa sódica 0,825 mg; Cloruro de sodio 0,500 mg; Ácido clorhídrico c.s. pH 3,5 - 4,1; Agua purificada c.s. 0,10 ml.","Hexaler Nasal Plus está indicado en el tratamiento de los síntomas de la rinitis alérgica estacional moderados a severos y la rinitis perenne, en adultos y adolescentes mayores de 12 años de edad.",Hexaler Nasal Plus: Envases conteniendo 60 y 120 dosis.,Mometasona; Olopatadina,,
HEXALER PLUS,https://ar.prvademecum.com/medicamento/hexaler-plus-19529/,SIEGFRIED,Antihistamínico. Descongestivo.,Cada cápsula con microgránulos contiene: Desloratadina 2.5 mg; Pseudoefedrina Sulfato 120 mg. Excipientes c.s.,Hexaler Plus está indicado para el alivio de los síntomas nasales y no nasales asociados con la rinitis alérgica estacional. Hexaler Plus debe administrarse cuando se requiera tanto la acción antihistamínica de la desloratadina como la acción descongestiva nasal de la pseudoefedrina.,Envase conteniendo 10 cápsulas de liberación prolongada.,Desloratadina; Seudoefedrina,Alergia; Congestión nasal,
HEXAXIM,https://ar.prvademecum.com/medicamento/hexaxim-24482/,SANOFI HEALTH,"Agente inmunizante activo para la prevención de difteria, tétanos, pertussis o tos ferina, hepatitis B, poliomielitis y las infecciones causadas por Haemophilus influenzae tipo b.","Una dosis1 (0,5 ml) contiene: •Toxoide diftérico no menos de 20 UI2 •Toxoide tetánico no menos de 40 UI2 •Antígenos de Bordetella pertussis: Toxoide pertússico 25 microgramos, Hemaglutinina filamentosa 25 microgramos •Poliovirus (Inactivado)3: Tipo 1(Mahoney) 40 unidades de antígeno D4, Tipo 2 (MEF-1) 8 unidades de antígeno D4,Tipo 3 (Saukett) 32 unidades de antígeno D4 •Antígeno de superficie del virus de la Hepatitis B5 10 microgramos •Polisacárido de Haemophilus influenzae tipo b 12 microgramos (polirribosil-ribitol-fosfato) •conjugado con proteína tetánica 22-36 microgramos 1 Adsorbida en hidróxido de aluminio, hidratado (0,6 mg Al3+). 2 Como límite inferior de confianza (p= 0,95).3 Producido en células Vero.4 O cantidad equivalente de antígeno, determinada mediante un método inmunoquímico apropiado. 5 Producido en células de levadura Hansenula polymorpha mediante tecnología de ADN recombinante. Excipientes: Hidrogenofosfato de disodio, dihidrogenofosfato de potasio, trometamol, sacarosa, aminoácidos esenciales incluyendo L-fenilalanina, agua para inyectables. La vacuna puede contener trazas de glutaraldehído, formaldehído, neomicina, estreptomicina y polimixina B que se utilizan durante el proceso de fabricación (Ver Sección ""Contraindicaciones"").","HEXAXIM está indicada para la vacunación primaria y la vacunación de refuerzo frente a difteria, tétanos, pertussis o tos ferina, hepatitis B, poliomielitis y enfermedades invasivas causadas por Haemophilus influenzae tipo b (Hib) en lactantes y niños a partir de las seis semanas hasta los 24 meses de edad. El uso de esta vacuna debe ser según las recomendaciones oficiales.","Envases con 1, 10, 20 ó 50 jeringas prellenadas monodosis de 0,5 ml con aguja acoplada. Envases con 1, 10, 20 ó 50 jeringas prellenadas monodosis de 0,5 ml, acompañadas con 1 ó 2 agujas separadas. Envases con 1, 10, 20 ó 50 viales monodosis de 0,5 ml. Puede ser que solamente estén comercializados algunos tamaños de envases.",Vacuna séxtuple acelular,Inmunización,
HEXIBEN,https://ar.prvademecum.com/medicamento/hexiben-9586/,SIDUS,"Crema dental blanqueadora de uso diario de blaqueamiento progresivo, no abrasivo y que actúa por oxidación, fortalece el esmalte y combate la placa bacteriana.","Cada 100 g de crema dental contiene: peróxido de calcio, flúor activo (como monofluorfosfato de sodio) 0,15 g.",,Envase conteniendo 60 g.,Flúor,"Caries, prevención de",
HHT® PEN 20 UI/ml,https://ar.prvademecum.com/medicamento/hht-pen-25516/,BIOSIDUS S.A.U,Hormona de crecimiento.,"Cada cartucho de 3ml de HHT® PEN 20 UI/ml contiene (por ml): Somatropina 6,67 mg (20 UI). Excipientes: L-Histidina 0,67mg, Manitol 40,00mg, Poloxámer 188 3,00mg, Fenol 3,00mg, Hidróxido de sodio q.s.ad. pH: 6,0, Agua para inyección q.s.ad. 1,00ml.","HHT® PEN está indicada para: 1. Tratamiento a largo plazo de pacientes pediátricos que presentan retraso en el crecimiento por una secreción inadecuada de la hormona de crecimiento. 2. Tratamiento a largo plazo de pacientes pediátricos que presentan retraso en el crecimiento por insuficiencia renal. 3. Tratamiento a largo plazo de pacientes pediátricos con SPW. El diagnóstico de Síndrome de Prader-Willi debe ser confirmado por un examen genético apropiado. 4. Tratamiento a largo plazo de pacientes pediátricas que presentan Síndrome de Turner. Éste debe ser confirmado por un examen genético apropiado. 5. Tratamiento a largo plazo de pacientes pediátricos que nacieron pequeños para la edad gestacional y presentan retraso en el crecimiento con ausencia de recuperación de la talla a los dos años de edad. 6. Tratamiento de reemplazo de la deficiencia de GH en adultos cuando están presentes los siguientes criterios: a) Deficiencia de GH en adultos, aislada o con deficiencia de múltiples hormonas, que comienza como resultado de una enfermedad hipotalámica o hipofisaria, irradiación o cirugía. Deficiencia de GH con inicio en la niñez que no fue confirmada hasta la adultez. b) Cuando el resultado de la prueba estándar de estimulación para la hormona de crecimiento es negativo, con un pico máximo menor de 5 ng/ml por radioinmunoensayo (RIA) o menor de 2,5 ng/ml cuando es evaluado con anticuerpos monoclonales (IRMA). 7. En el síndrome de desgaste (wasting syndrome) en pacientes con SIDA (Síndrome de Inmunodeficiencia Adquirida): Este síndrome, frecuente en pacientes con SIDA, implica un deterioro en la calidad de vida y en casos extremos, pone en riesgo la vida del paciente. En pacientes con SIDA, la pérdida de peso y masa muscular se asocia a una mayor incidencia de traumatismos causados por accidentes. HHT® PEN puede ser usada en pacientes infectados con el Virus de la Inmunodeficiencia Adquirida (VIH) cuando su administración es monitoreada por un médico experimentado en el diagnóstico y tratamiento de pacientes con SIDA. Antes de comenzar el tratamiento con HHT® PEN es importante descartar otras causas que pueden provocar la caquexia y la disminución de peso en el SIDA, incluyendo insuficiente aporte nutricional, infección secundaria (por ejemplo, tuberculosis), incapacidad de mantener una ingesta adecuada de comida (por ejemplo, complicaciones orales o esofágicas), síndrome de malabsorción, letargo, neoplasia, depresión, insuficiencia suprarrenal o hipogonadismo.",HHT® PEN: cartucho por 1 unidad.,Somatotropina,Enanismo,
HIALU-COL,https://ar.prvademecum.com/medicamento/hialu-col-30298/,FORTBENTON,Suplemento dietario. Blanda Caps. x 60.,,,,Ascórbico ácido; Colágeno hidrolizado; Colágeno tipo II; Hialurónico ácido; Resveratrol; Vitamina E,,
HIALUDORF HD,https://ar.prvademecum.com/medicamento/hialudorf-hd-22611/,PHARMADORF,Lubricante y humectante ocular.,"Cada 100 ml de Solución oftálmica estéril contiene: Hialuronato de sodio 0,4 g Excipientes: fosfato monosódico dihidratado, fosfato disódico dodecahidratado, cloruro de sodio, timerosal, agua purificada c.s.","Hialudorf HD está indicado para el alivio temporal dela irritación debida a la resequedad del ojo (sindrome de ojo seco), o para irritaciones menores tales como exposición al viento y al sol.",Envases conteniendo 10 ml.,Sodio hialuronato,Hiposecreción lagrimal,
HIALUDORF®,https://ar.prvademecum.com/medicamento/hialudorf-14772/,PHARMADORF,El ácido hialurónico es un polisacárido natural cuyas soluciones acuosas se caracterizan por una elevada viscoelasticidad. Hialudorf reconstituye y mejora la estabilidad del film lagrimal favoreciendo de esta manera la hidratación y lubricación de la córnea y de la conjuntiva.,"Cada 100 ml de Solución Oftálmica Estéril contiene: Hialuronato de sodio 0,2 g. Excipientes: Fosfato monosódico dihidrato, Fosfato disódico dodecahidrato, Cloruro de sodio, Timerosal, Agua purificada.",Hialudorf está indicado en los casos en los que existiría un primer diagnóstico médico de queratoconjuntivitis seca (cuyo principal síntoma sería la sensación de sequedad ocular).,Solución oftálmica estéril: envases conteniendo 10 y 15 ml.,Sodio hialuronato,Hiposecreción lagrimal,
HIBOR,https://ar.prvademecum.com/medicamento/hibor-26595/,GOBBI-NOVAG,Bemiparina. Antitrombótico. 2500UI Jer. Prell. x 10. 3500UI Jer. Prell. x 10. 7500UI Jer. Prell. x 10. 10000UI Jer. Prell. x 10.,,,,Bemiparina,Tromboembolismo y trombosis,
HIDRAL,https://ar.prvademecum.com/medicamento/hidral-11719/,LEPETIT,Hidralazina. Antihipertensivo. Vasodilatador. 25mg Comp. x 30. 50mg Comp. x 30.,,,,Hidralazina,Hipertensión arterial,
HIDRAVISOL,https://ar.prvademecum.com/medicamento/hidravisol-31814/,SIEGFRIED,Alim. p/propósitos médicos específicos. Bebida Manzana Env. Tetrapak x 200ml. Bebida Frutilla Env. Tetrapak x 200ml. Bebida Manzana Env. Tetrapak x 500ml. Bebida Frutilla Env. Tetrapak x 500ml.,,,,Cinc gluconato; Cítrico ácido; Glucosa; Potasio acesulfamo; Potasio cloruro; Sodio citrato; Sodio cloruro; Sucralosa,,
